Statistic Measure	Naive Bayes	Random Forest	SVM	KNN	Stochastic Gradient Descent
Accuracy	0.9031005353565673	0.9468951288836633	0.9653973512595645	0.9296979884678788	0.9628976477646468
Precision	0.9031005353565673	0.9468951288836633	0.9653973512595645	0.9296979884678788	0.9628976477646468
Recall	0.9031005353565673	0.9468951288836633	0.9653973512595645	0.9296979884678788	0.9628976477646468
F-Measure	0.9031005353565673	0.9468951288836633	0.9653973512595645	0.9296979884678788	0.9628976477646468
